"country","Q1","Q3","Q4","Q6","Q12A","Q12B","Q12C","Q12D","Q13A","Q13B","Q13E","Q13F","Q13G","Q17","Q18","Q19B","Q25A","Q25D","Q26A","Q26B","Q26C","Q26D","Q26E","Q26F","Q26G","Q32","Q33","Q39","Q40","Q41","Q42","Q43","Q44","Q70","Q71","Q152","Q164","iso3","iso2","gdp.per.capita","fdi.gdp","trade.gdp"
"Nigeria",1.47826086956522,2.14945652173913,1.45108695652174,1.22010869565217,1.48641304347826,1.77445652173913,2.39402173913043,2.34510869565217,1.38586956521739,1.93478260869565,2.20108695652174,2.11684782608696,1.77173913043478,1.53532608695652,1.8070652173913,1.27717391304348,1.4429347826087,2.10054347826087,1.125,1.29891304347826,1.33967391304348,1.40489130434783,1.36413043478261,1.37228260869565,1.3695652173913,1.35597826086957,1.76358695652174,1.33423913043478,1.09510869565217,1.54619565217391,1.38858695652174,2.29076086956522,1.41576086956522,1.54076086956522,1.11141304347826,1.1929347826087,3.35326086956522,"NGA","NG",2562.52221567701,0.650345417194235,21.1243510431872
"Pakistan",1.44628099173554,2.40495867768595,2.32231404958678,1.73553719008264,3.07438016528926,1.41322314049587,2.25619834710744,2.90909090909091,1.98347107438017,2.03305785123967,2.50413223140496,2.3801652892562,2.42148760330579,1.52066115702479,2.1404958677686,1.49586776859504,3.1404958677686,2.78512396694215,1.50413223140496,1.45454545454545,1.61157024793388,1.6198347107438,1.57851239669421,1.72727272727273,1.8099173553719,1.74380165289256,1.69421487603306,1.80165289256198,1.37190082644628,1.90909090909091,1.99173553719008,2.72727272727273,1.58677685950413,1.81818181818182,1.19834710743802,1.2396694214876,1.90082644628099,"PAK","PK",1140.00279734428,0.598044891255462,27.6042920579542
"Peru",1.6221198156682,2.47926267281106,1.98617511520737,1.57142857142857,1.94470046082949,2.05990783410138,2.96774193548387,2.50691244239631,1.26267281105991,1.61290322580645,1.55760368663594,1.83410138248848,1.44239631336406,1.92165898617512,2.05990783410138,1.38248847926267,2.24884792626728,2.88018433179723,1.34101382488479,1.43778801843318,1.65437788018433,1.61290322580645,1.52995391705069,1.59907834101382,1.68202764976959,1.29953917050691,1.87096774193548,1.66359447004608,1.1889400921659,1.28110599078341,1.35023041474654,1.86635944700461,1.35944700460829,1.31336405529954,1.13364055299539,1.57603686635945,2.43778801843318,"PER","PE",5936.01783967867,4.13140417620701,45.0084394558252
"Philippines",1.74753451676529,2.37869822485207,2.58185404339251,1.77120315581854,1.6094674556213,2.43589743589744,2.73372781065089,2.53648915187377,1.29585798816568,1.60157790927022,1.62721893491124,1.57593688362919,1.48126232741617,1.53846153846154,1.41814595660749,1.10848126232742,1.50887573964497,2.3905325443787,1.16962524654832,1.28007889546351,1.52859960552268,1.55424063116371,1.57988165680473,1.50887573964497,1.58382642998028,1.30769230769231,1.78500986193294,1.46745562130178,1.12031558185404,1.465483234714,1.25049309664694,2.22879684418146,1.27810650887574,1.64694280078895,1.31163708086785,1.12228796844181,2.61735700197239,"PHL","PH",2615.65918578273,1.92611162697168,62.6900087717618
"Poland",1.8112582781457,2.53311258278146,2.90066225165563,2.07615894039735,2.06953642384106,2.50993377483444,2.92384105960265,3.07284768211921,2.21523178807947,2.01655629139073,2.11258278145695,2.07284768211921,2.05960264900662,1.87086092715232,1.88079470198676,1.28476821192053,2.1887417218543,3.22516556291391,1.34437086092715,1.30132450331126,1.3112582781457,1.3046357615894,1.37417218543046,1.35430463576159,1.37086092715232,2.05629139072848,1.59933774834437,1.43377483443709,1.2682119205298,2.00662251655629,2.13907284768212,2.64569536423841,1.38079470198676,1.21854304635762,1.0794701986755,2.09933774834437,2.50331125827815,"POL","PL",14641.5679360228,2.94697591480342,95.9511393464535
"Senegal",1.82846715328467,2.28102189781022,1.86861313868613,1.46715328467153,1.48175182481752,1.63868613138686,2.44160583941606,2.54744525547445,1.64233576642336,1.94525547445255,1.98540145985401,1.93430656934307,1.54379562043796,1.31021897810219,1.73722627737226,1.13868613138686,1.5,2.81021897810219,1.19343065693431,1.27372262773723,1.4014598540146,1.35766423357664,1.33211678832117,1.34671532846715,1.37591240875912,1.4014598540146,1.83576642335766,1.69343065693431,1.17883211678832,1.78467153284672,1.59124087591241,1.8029197080292,1.45985401459854,1.55839416058394,1.08029197080292,1.06204379562044,3.51094890510949,"SEN","SN",1054.98368503164,3.00515743503324,75.2954862489696
"South Africa",1.68161434977578,2.27354260089686,2.61434977578475,1.84304932735426,1.72645739910314,2.17488789237668,2.88789237668161,2.69506726457399,1.48430493273543,2.09865470852018,2.09865470852018,1.9237668161435,1.76233183856502,1.85201793721973,1.89686098654709,1.26905829596413,1.58295964125561,2.43497757847534,1.16591928251121,1.29596412556054,1.49775784753363,1.42152466367713,1.37668161434978,1.47085201793722,1.40358744394619,1.63677130044843,1.85201793721973,1.62780269058296,1.39461883408072,1.91031390134529,1.83408071748879,2.74439461883408,1.58295964125561,1.59192825112108,1.07174887892377,1.51569506726457,3.91031390134529,"ZAF","ZA",7605.39536715871,0.479240183135738,61.8275803572509
"Spain",1.91286307053942,3.25726141078838,2.72406639004149,2.30290456431535,2.19502074688797,2.62033195020747,3.39626556016598,2.94605809128631,1.59128630705394,1.28215767634855,1.69087136929461,2.12448132780083,1.44605809128631,1.83817427385892,1.850622406639,1.49585062240664,2.38589211618257,3.42738589211618,1.44190871369295,1.5954356846473,1.52904564315353,1.46680497925311,1.52489626556017,1.52697095435685,1.62448132780083,1.57261410788382,1.83817427385892,1.71991701244813,1.08091286307054,1.5,1.97302904564315,1.90248962655602,1.45228215767635,1.10580912863071,1.02282157676349,2.73029045643154,3.50414937759336,"ESP","ES",30461.3624098423,2.12070289520166,63.9061990128658
"Tanzania",1.72307692307692,2.5,2.63076923076923,2.05384615384615,1.51923076923077,1.49230769230769,2.49615384615385,2.21538461538462,1.65,1.52692307692308,1.83461538461538,1.66923076923077,1.5,1.44230769230769,1.91153846153846,1.22692307692308,1.51538461538462,2.06538461538462,1.16538461538462,1.23461538461538,1.26538461538462,1.23846153846154,1.32307692307692,1.28846153846154,1.27307692307692,1.46923076923077,1.71153846153846,1.26538461538462,1.06153846153846,1.46153846153846,1.40769230769231,1.93076923076923,1.23076923076923,1.71538461538462,1.28461538461538,1.12692307692308,2.96923076923077,"TZA","TZ",835.97094587663,4.29685937275051,47.9652623802463
"Turkey",1.96062992125984,2.7992125984252,3.36220472440945,2.16141732283465,2.69685039370079,2.90944881889764,3.21259842519685,3.11417322834646,1.76377952755906,2.06299212598425,2.0511811023622,2.05905511811024,1.82677165354331,1.83070866141732,1.98818897637795,1.45275590551181,2.26377952755906,2.53937007874016,1.55905511811024,1.5748031496063,1.55905511811024,1.61023622047244,1.68110236220472,1.65354330708661,1.68110236220472,1.94488188976378,1.68503937007874,1.66535433070866,1.32283464566929,2.11023622047244,2.0748031496063,2.7755905511811,1.28346456692913,1.1259842519685,1.00393700787402,1.70866141732283,2.31102362204724,"TUR","TR",13894.5998675947,2.04216129206029,49.2888786699348
"Uganda",1.80441640378549,2.78233438485804,2.70977917981073,1.86119873817035,1.69085173501577,1.90220820189274,2.6782334384858,2.5583596214511,1.32492113564669,2.01892744479495,2.14511041009464,2.19558359621451,1.52365930599369,1.42271293375394,1.51104100946372,1.12302839116719,1.82334384858044,2.6782334384858,1.22082018927445,1.30914826498423,1.32807570977918,1.30914826498423,1.31230283911672,1.32807570977918,1.3596214511041,1.37854889589905,1.82018927444795,1.1608832807571,1.05047318611987,1.29022082018927,1.10725552050473,1.80441640378549,1.53943217665615,1.85488958990536,1.41640378548896,1.08201892744479,3.4416403785489,"UGA","UG",653.872721209377,1.93307376430526,45.9296361743136
"Ukraine",1.86,3.524,3.196,1.724,2.084,2.192,2.72,3.196,2.208,2.844,2.788,3.396,1.9,2.292,1.776,1.26,2.24,3.308,1.388,1.444,1.58,1.568,1.568,1.632,1.532,1.848,1.628,1.828,1.22,1.632,2.184,2.608,1.352,1.328,1.056,2.312,3.42,"UKR","UA",2828.88539029976,3.35050846247305,107.081663770075
"United Kingdom",1.71320754716981,2.52452830188679,2.61509433962264,2.48301886792453,2.12830188679245,2.47547169811321,3.04150943396226,3.17358490566038,1.92452830188679,1.39245283018868,1.91698113207547,1.90943396226415,1.87547169811321,1.80377358490566,1.77735849056604,1.38490566037736,2.01509433962264,3.38867924528302,1.39622641509434,1.63018867924528,1.48679245283019,1.32075471698113,1.30566037735849,1.26037735849057,1.44528301886792,1.81132075471698,1.71698113207547,1.69056603773585,1.16603773584906,1.70566037735849,2.47547169811321,2.67547169811321,1.46415094339623,1.08301886792453,1.06792452830189,2.65283018867925,2.79245283018868,"GBR","GB",41183.933841816,2.04294664774763,56.8522475935995
"United States",1.59923664122137,2.75190839694656,2.98091603053435,2.37595419847328,1.65458015267176,2.83778625954198,3.43320610687023,3.12786259541985,2.07824427480916,1.3263358778626,1.43511450381679,1.48282442748092,1.61068702290076,1.71946564885496,1.60496183206107,1.48091603053435,2.56679389312977,3.32824427480916,1.55152671755725,1.50381679389313,1.62213740458015,1.59351145038168,1.51908396946565,1.54198473282443,1.59160305343511,1.98282442748092,1.80534351145038,1.40076335877863,1.30725190839695,2.09923664122137,2.48282442748092,2.11832061068702,1.62786259541985,1.07442748091603,1.04198473282443,1.84541984732824,2.95038167938931,"USA","US",51722.0969458768,2.80629194515522,28.0018604343778
"Vietnam",1.81649484536082,1.90721649484536,1.97938144329897,1.12577319587629,1.65567010309278,3.12577319587629,2.44329896907217,1.70309278350515,1.50103092783505,1.9319587628866,2.09896907216495,1.89072164948454,1.80412371134021,1.77938144329897,1.28453608247423,1.07010309278351,1.72783505154639,1.72164948453608,1.15257731958763,1.18350515463918,1.35876288659794,1.44123711340206,1.32989690721649,1.34639175257732,1.49896907216495,1.34020618556701,1.85979381443299,1.41855670103093,1.11546391752577,1.48865979381443,1.42061855670103,2.49484536082474,1.51134020618557,1.37938144329897,1.08659793814433,2.29896907216495,2.09896907216495,"VNM","VN",1684.69149023709,6.10636115617447,178.767414715772
